,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
259273,1.2963658713246728e-06,-0.474555,-0.8737864,0.008262488,0.112451464,240,3000000000.0
259274,1.2963702596093813e-06,-0.47914943,-0.8712757999999999,0.008250357,0.11043955,240,3000000000.0
259275,1.2963761109991172e-06,-0.48517096,-0.8679261,0.008048406999999999,0.107754394,240,3000000000.0
259276,1.296380499080428e-06,-0.4895248,-0.8654615,0.007762728000000001,0.10585615,240,3000000000.0
259277,1.2963863494794858e-06,-0.49499983,-0.86231023,0.007214004,0.10363682,240,3000000000.0
259278,1.2963907383718772e-06,-0.49878865,-0.86009437,0.006686286,0.10229669,240,3000000000.0
259279,1.2963951274638405e-06,-0.5022502000000001,-0.85804445,0.0060691022999999995,0.10129310000000001,240,3000000000.0
259280,1.2964009802737178e-06,-0.5062829000000001,-0.8556229,0.005124938,0.100539945,240,3000000000.0
259281,1.2964053696842926e-06,-0.5088238,-0.8540777,0.0043408354,0.10043716,240,3000000000.0
259282,1.2964112220197484e-06,-0.5115130999999999,-0.85242236,0.0032175085999999998,0.10090509,240,3000000000.0
259283,1.296415610821337e-06,-0.51297975,-0.85150796,0.0023334692,0.101671994,240,3000000000.0
259284,1.2964214606949043e-06,-0.51417714,-0.85074735,0.0011248903,0.10315867,240,3000000000.0
259285,1.2964258496415316e-06,-0.51450104,-0.8505282,0.0002127761,0.10454036,240,3000000000.0
259286,1.2964302387565709e-06,-0.51433486,-0.8506100000000001,-0.0006892954700000001,0.106069736,240,3000000000.0
259287,1.296436091704976e-06,-0.5133673,-0.85117686,-0.0018544259,0.10818528,240,3000000000.0
259288,1.296440481178911e-06,-0.51210344,-0.85192996,-0.002684078,0.10971139,240,3000000000.0
259289,1.296446334013719e-06,-0.5097444999999999,-0.8533385,-0.0037099236999999998,0.11149932,240,3000000000.0
259290,1.2964507231945388e-06,-0.5075088,-0.8546697,-0.0044056512,0.11255075,240,3000000000.0
