t	mx	my	mz	MaxAngle	phi	f_RF
1.3228825568378291e-08	0.8516243	0.5068642	0.001650825	0.101594456	30	5000000000.0
1.3234676614464185e-08	0.85194767	0.5062419	8.761979e-05	0.10234162	30	5000000000.0
1.3239065950276153e-08	0.8517641	0.5065278	-0.0010866262	0.10267247	30	5000000000.0
1.3244919786200584e-08	0.85095865	0.50789887	-0.0026104434	0.10281369	30	5000000000.0
1.3249308986318298e-08	0.8499486	0.5096389	-0.0036919953	0.10271085	30	5000000000.0
1.3253697614309116e-08	0.8486094	0.51194733	-0.004697281	0.1024425	30	5000000000.0
1.3259548155465594e-08	0.8463524	0.5158214	-0.005885124	0.10186268	30	5000000000.0
1.3263937396815787e-08	0.84434325	0.51924497	-0.0066393577	0.10128249	30	5000000000.0
1.3269788442813801e-08	0.8413111	0.52436095	-0.0074343774	0.10034914	30	5000000000.0
1.3274177336770556e-08	0.83882457	0.528509	-0.007858017	0.09955289	30	5000000000.0
1.3278566625925568e-08	0.83620685	0.5328291	-0.008124459	0.098686144	30	5000000000.0
1.3284419457380652e-08	0.8325993	0.53870445	-0.008227195	0.09743688	30	5000000000.0
1.3288807492689812e-08	0.8298756	0.543081	-0.00811352	0.09643489	30	5000000000.0
1.3294657124058683e-08	0.82632357	0.5487133	-0.007712996	0.095022455	30	5000000000.0
1.3299045231752129e-08	0.8237896	0.55268043	-0.0072340393	0.09390586	30	5000000000.0
1.3304894820992175e-08	0.8206877	0.5574809	-0.006376335	0.09234832	30	5000000000.0
1.3309283034601055e-08	0.81863326	0.5606281	-0.0055853366	0.09114148	30	5000000000.0
1.3313671588629116e-08	0.8168629	0.5633209	-0.004685153	0.08991383	30	5000000000.0
1.331952400944178e-08	0.81501156	0.5661204	-0.0033461144	0.09208877	30	5000000000.0
1.3323912246662551e-08	0.8140462	0.5675771	-0.0022638913	0.09453307	30	5000000000.0
1.332976233844293e-08	0.8133647	0.5686138	-0.0007573054	0.09742279	30	5000000000.0
1.3334150134501917e-08	0.81332266	0.5686951	0.00039192647	0.09925981	30	5000000000.0
1.333853758679049e-08	0.8136848	0.5681776	0.0015326799	0.10077543	30	5000000000.0
1.3344387516988562e-08	0.8147809	0.56657493	0.0030023602	0.1022529	30	5000000000.0
1.3348776128067495e-08	0.8160388	0.5647164	0.004038633	0.10293616	30	5000000000.0
1.3354629734327333e-08	0.81824434	0.56142694	0.0052941153	0.103276104	30	5000000000.0
1.3359019238686152e-08	0.82024574	0.5584112	0.0061167805	0.103108875	30	5000000000.0
1.3364871267907756e-08	0.82329357	0.5537649	0.007024696	0.102358535	30	5000000000.0
1.336926078069585e-08	0.82579994	0.54989505	0.00754674	0.1014327	30	5000000000.0
1.3373650574974751e-08	0.82843655	0.5457759	0.007920825	0.10022472	30	5000000000.0
1.3379501702617e-08	0.83205765	0.5400351	0.008176837	0.0982326	30	5000000000.0
1.3383890721740635e-08	0.83478236	0.5356495	0.008181755	0.09649121	30	5000000000.0
1.3389744310320778e-08	0.83832526	0.5298584	0.0079380125	0.093905225	30	5000000000.0
1.3394133799820072e-08	0.84084755	0.52567166	0.007571803	0.09180704	30	5000000000.0
1.33985232129288e-08	0.843202	0.5217128	0.0070557576	0.08961063	30	5000000000.0
1.3404375821077332e-08	0.846007	0.51692784	0.006152014	0.08988396	30	5000000000.0
1.3408765962556283e-08	0.84781235	0.51380527	0.005329221	0.09113624	30	5000000000.0
1.3414617476672322e-08	0.849762	0.5103893	0.004069719	0.09277072	30	5000000000.0
1.3419006635122765e-08	0.85084987	0.50845724	0.0030267038	0.09394208	30	5000000000.0
1.3424860981382958e-08	0.8517675	0.5067998	0.0015431478	0.09539238	30	5000000000.0
1.342925088412681e-08	0.852041	0.5062822	0.00038974345	0.096377924	30	5000000000.0
1.343364079039964e-08	0.85195315	0.5064008	-0.0007735874	0.09725781	30	5000000000.0
1.3439493904450115e-08	0.85127676	0.5075449	-0.002300452	0.09825022	30	5000000000.0
1.3443883007954245e-08	0.85035986	0.5091203	-0.0033978985	0.09885117	30	5000000000.0
1.3449734581777452e-08	0.8486181	0.5121167	-0.0047563966	0.09944909	30	5000000000.0
1.3454124297155313e-08	0.8469486	0.5149772	-0.005670803	0.09974822	30	5000000000.0
1.345851360668647e-08	0.8449979	0.51829875	-0.0064750095	0.09991746	30	5000000000.0
1.3464366616082292e-08	0.842016	0.5233271	-0.0073487707	0.09995211	30	5000000000.0
1.3468755565872997e-08	0.83954453	0.5274476	-0.007838116	0.09984094	30	5000000000.0
1.3474607231779088e-08	0.8360194	0.53325003	-0.0082509	0.0995247	30	5000000000.0
1.347899631678341e-08	0.8332664	0.5377209	-0.008372723	0.09916593	30	5000000000.0
1.3484846811890095e-08	0.8295513	0.5436705	-0.0082801	0.09853782	30	5000000000.0
1.3489235980301777e-08	0.82680154	0.5480136	-0.008020964	0.097963	30	5000000000.0
1.3493625357369836e-08	0.8241463	0.55215997	-0.007604492	0.09730384	30	5000000000.0
1.3499478529925088e-08	0.820848	0.55724627	-0.0068187565	0.09630356	30	5000000000.0
1.350386783919144e-08	0.81862545	0.56063515	-0.006071596	0.09546744	30	5000000000.0
1.3509719888942556e-08	0.8160894	0.56446576	-0.004892393	0.094256096	30	5000000000.0
1.3514108881449053e-08	0.81456286	0.566754	-0.0038928832	0.09328339	30	5000000000.0
1.351995863683268e-08	0.8130955	0.5689447	-0.0024439092	0.091931134	30	5000000000.0
1.3524346470542784e-08	0.81245357	0.5699041	-0.0012965559	0.0908949	30	5000000000.0
1.352873518329288e-08	0.8122232	0.57025635	-0.000121520876	0.09226232	30	5000000000.0
1.3534587571570136e-08	0.81256604	0.56977	0.0014490831	0.09478091	30	5000000000.0
1.353897571628223e-08	0.8133044	0.56869507	0.0026001777	0.09640084	30	5000000000.0
1.354482642509636e-08	0.81490105	0.56634915	0.004057531	0.09813349	30	5000000000.0
1.354921448982427e-08	0.81652427	0.5639439	0.005065225	0.09908221	30	5000000000.0
1.3553602226247452e-08	0.8184739	0.5610308	0.005977946	0.099710494	30	5000000000.0
1.3559451746412597e-08	0.8215073	0.5564471	0.007016836	0.10003808	30	5000000000.0
1.356383997071736e-08	0.824046	0.5525629	0.007642963	0.09990251	30	5000000000.0
1.356969282384844e-08	0.82768196	0.546922	0.008250052	0.09923214	30	5000000000.0
1.357408123721064e-08	0.8305229	0.5424489	0.008522333	0.09838806	30	5000000000.0
1.357993346919671e-08	0.83435583	0.5363188	0.008630568	0.09685	30	5000000000.0
1.3584322895529714e-08	0.83719116	0.5317111	0.008517787	0.095429294	30	5000000000.0
1.3588712173436393e-08	0.83993214	0.5271949	0.008240193	0.09381682	30	5000000000.0
1.3594562594513271e-08	0.84335196	0.521471	0.007622568	0.09142852	30	5000000000.0
1.3598952678793966e-08	0.845683	0.5175095	0.0069840886	0.089507334	30	5000000000.0
1.3604807612247388e-08	0.8484009	0.5128246	0.0059213997	0.08931642	30	5000000000.0
1.360919768486068e-08	0.85010064	0.50985485	0.0049855667	0.0902147	30	5000000000.0
1.3613587736670235e-08	0.8514789	0.50742084	0.0039500208	0.091110036	30	5000000000.0
1.3619441206655733e-08	0.8527782	0.5050969	0.0024484354	0.09226684	30	5000000000.0
1.3623831137130835e-08	0.8533284	0.5040946	0.0012595999	0.09308481	30	5000000000.0
1.3629682052216784e-08	0.8534785	0.50378925	-0.00036500057	0.09408304	30	5000000000.0
1.3634071207688053e-08	0.8531505	0.5043425	-0.0015832805	0.09475508	30	5000000000.0
1.3639924501964851e-08	0.8521325	0.5061064	-0.0031624387	0.09553245	30	5000000000.0
1.3644313825522688e-08	0.8509477	0.508166	-0.004282578	0.09602546	30	5000000000.0
1.3648702943338287e-08	0.8494202	0.5108133	-0.005323319	0.09643675	30	5000000000.0
1.3654555690857091e-08	0.8468907	0.5151653	-0.0065526464	0.0968654	30	5000000000.0
1.3658944612344932e-08	0.84466314	0.51896113	-0.007332155	0.09709501	30	5000000000.0
1.3664794778628159e-08	0.8413219	0.5245864	-0.008152267	0.09728727	30	5000000000.0
1.3669183202530994e-08	0.8385912	0.52912194	-0.008587429	0.09734739	30	5000000000.0
1.3673571764301439e-08	0.8357216	0.5338297	-0.008858316	0.09733389	30	5000000000.0
1.3679423896479765e-08	0.83176935	0.5402158	-0.0089548975	0.097206846	30	5000000000.0
1.3683812026650156e-08	0.8287843	0.5449655	-0.008826767	0.097026125	30	5000000000.0
1.3689664390971652e-08	0.8248857	0.55107576	-0.0083927065	0.09667046	30	5000000000.0
1.369405243161696e-08	0.8221014	0.5553768	-0.007877813	0.09631225	30	5000000000.0
1.3699902362353586e-08	0.8186843	0.560585	-0.006957359	0.095712245	30	5000000000.0
1.3704290816620674e-08	0.81641346	0.56400424	-0.0061082607	0.09517373	30	5000000000.0
1.370867971641383e-08	0.8144492	0.56693554	-0.0051407553	0.09455959	30	5000000000.0
1.3714532733319711e-08	0.81238186	0.56999487	-0.0036983632	0.09364105	30	5000000000.0
1.3718921835276894e-08	0.8112919	0.5715979	-0.0025291964	0.092887744	30	5000000000.0
1.3724774213370087e-08	0.81050056	0.57275903	-0.0008955293	0.09182524	30	5000000000.0
1.3729162561006553e-08	0.8104225	0.57287645	0.00035548606	0.09155052	30	5000000000.0
1.3733550976916653e-08	0.8107903	0.57234365	0.001602613	0.09312841	30	5000000000.0
1.3739401192702444e-08	0.8119607	0.5706374	0.003218461	0.09494766	30	5000000000.0
1.3743790455307923e-08	0.8133248	0.56863683	0.004366036	0.09605529	30	5000000000.0
1.3749643167338455e-08	0.81573653	0.56507176	0.0057685426	0.09714849	30	5000000000.0
1.3754032346579163e-08	0.81793904	0.5617839	0.0066986214	0.0976572	30	5000000000.0
1.3759885337342695e-08	0.8213123	0.5566885	0.0077427374	0.09789838	30	5000000000.0
1.376427464247529e-08	0.82410014	0.5524212	0.008359031	0.09775191	30	5000000000.0
1.376866366529376e-08	0.8270454	0.547856	0.008818745	0.09732714	30	5000000000.0
1.3774513698218082e-08	0.8311122	0.5414515	0.009172694	0.09635314	30	5000000000.0
1.377890292689645e-08	0.83419144	0.5365218	0.00923685	0.09533354	30	5000000000.0
1.3784755868557482e-08	0.8382225	0.52995867	0.009050309	0.09363531	30	5000000000.0
1.3789145269517084e-08	0.84111613	0.5251669	0.00870899	0.092141904	30	5000000000.0
1.3793534279162394e-08	0.8438403	0.52059126	0.008201295	0.0904928	30	5000000000.0
1.379938777508179e-08	0.8471286	0.51498026	0.0072813397	0.08923687	30	5000000000.0
