,Unnamed: 0,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
758,60158,3.007901324093914e-07,0.56058145,0.82062316,0.00035391096,0.08873518,55,3500000000.0
759,60159,3.007959835206184e-07,0.56069285,0.8205306,3.964546e-05,0.08670361,55,3500000000.0
760,60160,3.00800372509688e-07,0.560634,0.8205607,-0.00019617169,0.085335486,55,3500000000.0
761,60161,3.008062246914962e-07,0.5603669,0.82073283,-0.0005071315,0.083772205,55,3500000000.0
762,60162,3.00810613350973e-07,0.56002754,0.820959,-0.0007352944,0.08282442400000001,55,3500000000.0
763,60163,3.008150025271049e-07,0.5595720999999999,0.82126623,-0.0009571197,0.08209062,55,3500000000.0
764,60164,3.0082085489680893e-07,0.5587907,0.8217969999999999,-0.0012398721,0.08146602,55,3500000000.0
765,60165,3.008252431551705e-07,0.5580805999999999,0.8222811999999999,-0.0014398544,0.0812761,55,3500000000.0
766,60166,3.00831092504105e-07,0.5569795999999999,0.82303286,-0.0016872007,0.081399344,55,3500000000.0
767,60167,3.008354809507369e-07,0.5560465,0.82366997,-0.0018562934,0.08177381,55,3500000000.0
768,60168,3.008413325665193e-07,0.5546739,0.8246063,-0.0020569768,0.08263689,55,3500000000.0
769,60169,3.0084572110774787e-07,0.5535593000000001,0.8253654,-0.0021871415,0.08354323,55,3500000000.0
770,60170,3.0085010962711463e-07,0.5523819999999999,0.82616574,-0.0022985172,0.08465937,55,3500000000.0
771,60171,3.0085596295717203e-07,0.5507314999999999,0.82728475,-0.0024160012,0.08644166,55,3500000000.0
772,60172,3.008603519963757e-07,0.5494474,0.828153,-0.0024796473000000003,0.08796984,55,3500000000.0
773,60173,3.0086620285336945e-07,0.5476946,0.8293341999999999,-0.002530595,0.090224616,55,3500000000.0
774,60174,3.008705915346662e-07,0.5463640999999999,0.83022785,-0.0025427632,0.09204209,55,3500000000.0
775,60175,3.008764434243993e-07,0.5445913,0.8314146000000001,-0.0025237661,0.09458421,55,3500000000.0
776,60176,3.0088083107559555e-07,0.5432784,0.83229035,-0.0024830895,0.09653945,55,3500000000.0
777,60177,3.0088521955863185e-07,0.54199255,0.83314556,-0.0024199723,0.0985051,55,3500000000.0
778,60178,3.0089107164699856e-07,0.5403406,0.834241,-0.0023016802,0.101081856,55,3500000000.0
779,60179,3.0089545963400606e-07,0.5391638000000001,0.8350189,-0.002188278,0.10294254,55,3500000000.0
780,60180,3.009013095069601e-07,0.5376984,0.8359853,-0.0020059212,0.1052718,55,3500000000.0
781,60181,3.009056983513915e-07,0.53669006,0.8366488999999999,-0.0018472212,0.10686677,55,3500000000.0
782,60182,3.009100862284892e-07,0.5357708000000001,0.8372530999999999,-0.0016713168,0.108306654,55,3500000000.0
783,60183,3.009159375368416e-07,0.5346981,0.8379578999999999,-0.0014126458,0.109948486,55,3500000000.0
784,60184,3.0092032534240485e-07,0.5340188,0.8384045,-0.001202868,0.11095374,55,3500000000.0
785,60185,3.009261781523388e-07,0.5332923,0.8388836999999999,-0.00090560474,0.1119788,55,3500000000.0
786,60186,3.009305664975019e-07,0.5328892,0.83915144,-0.0006723019,0.11251254,55,3500000000.0
787,60187,3.009364164483172e-07,0.5325482,0.839382,-0.000351513,0.11292798,55,3500000000.0
788,60188,3.009408046163293e-07,0.5324431,0.83945805,-0.00010644452,0.113036886,55,3500000000.0
789,60189,3.0094519383546506e-07,0.53246874,0.83945024,0.00013995642,0.112999365,55,3500000000.0
790,60190,3.009510452979073e-07,0.53270584,0.83930933,0.00046646458,0.112764426,55,3500000000.0
791,60191,3.00955434455754e-07,0.5330339,0.8391068000000002,0.0007069445,0.1124897,55,3500000000.0
792,60192,3.0096128820997913e-07,0.53366613,0.83871055,0.0010175272,0.11204226,55,3500000000.0
793,60193,3.009656767872314e-07,0.53428036,0.8383222,0.0012399906,0.11167809,55,3500000000.0
794,60194,3.009700661411349e-07,0.5350087,0.83785874,0.001451325,0.11131275,55,3500000000.0
795,60195,3.0097591703348337e-07,0.5361449,0.83713156,0.0017123622,0.110842794,55,3500000000.0
796,60196,3.009803064315255e-07,0.537111,0.8365096,0.0018904024,0.11050982,55,3500000000.0
797,60197,3.009861575102827e-07,0.5385335,0.8355886999999999,0.0021009892,0.11008366,55,3500000000.0
798,60198,3.0099054643061706e-07,0.5396887,0.8348367,0.0022370797,0.10976201,55,3500000000.0
799,60199,3.009964000011168e-07,0.5413269,0.833764,0.0023871327,0.109294154,55,3500000000.0
800,60200,3.0100078888664874e-07,0.5426135999999999,0.8329167,0.0024747858,0.10888465,55,3500000000.0
801,60201,3.010051776804001e-07,0.5439374,0.8320403000000001,0.0025402764000000003,0.10839484,55,3500000000.0
802,60202,3.010110281247172e-07,0.5457392,0.8308404,0.002592168,0.10757912,55,3500000000.0
803,60203,3.010154164813364e-07,0.5471024999999999,0.82992685,0.0026040955,0.10681702,55,3500000000.0
804,60204,3.010212664387103e-07,0.54891276,0.8287065999999998,0.0025838006,0.10557315,55,3500000000.0
805,60205,3.010256548073307e-07,0.5502496,0.8278001,0.0025415760000000003,0.10445807,55,3500000000.0
806,60206,3.010300431386172e-07,0.551555,0.8269103000000001,0.0024765658,0.10318182,55,3500000000.0
807,60207,3.01035895684176e-07,0.5532271,0.82576364,0.0023553402,0.10125006,55,3500000000.0
808,60208,3.010402839402036e-07,0.5544149,0.8249445,0.0022395141,0.09964581,55,3500000000.0
809,60209,3.010461336549791e-07,0.55589044,0.8239211,0.002053678,0.09734187,55,3500000000.0
810,60210,3.010505220162363e-07,0.55690354,0.8232145000000001,0.0018921555,0.095527455,55,3500000000.0
811,60211,3.010563733407197e-07,0.55811226,0.8223668,0.0016498085,0.09306045,55,3500000000.0
812,60212,3.0106076139363387e-07,0.5589015,0.82181,0.0014497726999999998,0.09121872,55,3500000000.0
813,60213,3.0106514994489073e-07,0.5595821,0.8213273000000001,0.0012358591,0.08942395,55,3500000000.0
814,60214,3.0107100386954213e-07,0.5603103,0.8208072,0.0009320496,0.08716836,55,3500000000.0
815,60215,3.0107539326538554e-07,0.5607146,0.82051563,0.0006928840299999999,0.08562312,55,3500000000.0
816,60216,3.0108124460823695e-07,0.5610571,0.82026404,0.0003627863200000001,0.08381493400000001,55,3500000000.0
817,60217,3.010856337901682e-07,0.56116265,0.82018125,0.00010948504,0.08268165,55,3500000000.0
818,60218,3.0109002348303545e-07,0.56113684,0.8201906999999999,-0.00014626753999999998,0.081762865,55,3500000000.0
819,60219,3.0109587477523434e-07,0.5608970999999999,0.8203476000000001,-0.00048701806,0.08090006599999999,55,3500000000.0
820,60220,3.0110026345424203e-07,0.56056446,0.82057273,-0.0007394864,0.080538586,55,3500000000.0
821,60221,3.0110611794224816e-07,0.5599205,0.8210128000000001,-0.0010677191,0.080447406,55,3500000000.0
822,60222,3.0111050762555783e-07,0.55929214,0.82144433,-0.0013044153,0.08067184,55,3500000000.0
823,60223,3.011163590199578e-07,0.5582696,0.82214767,-0.001603077,0.08134801,55,3500000000.0
824,60224,3.011207488282314e-07,0.55737185,0.82276493,-0.0018116455,0.08213277,55,3500000000.0
825,60225,3.011251382570951e-07,0.55637,0.8234531999999999,-0.0020045764,0.08313365,55,3500000000.0
826,60226,3.011309894034142e-07,0.55488753,0.8244696,-0.0022340545,0.08478123,55,3500000000.0
827,60227,3.011353790153409e-07,0.5536774,0.8252968,-0.0023830608,0.08622806,55,3500000000.0
828,60228,3.0114123342323053e-07,0.5519531,0.82647175,-0.0025477866,0.08839149,55,3500000000.0
829,60229,3.011456220551401e-07,0.55059284,0.8273954,-0.0026439428,0.090155795,55,3500000000.0
830,60230,3.011500118201734e-07,0.549188,0.8283458,-0.0027153757,0.09201484,55,3500000000.0
831,60231,3.0115586420320914e-07,0.5472689000000001,0.82963884,-0.0027705252000000003,0.09458484,55,3500000000.0
832,60232,3.011602544383604e-07,0.54581225,0.830616,-0.0027809858,0.09654378,55,3500000000.0
833,60233,3.011661069055735e-07,0.5438746,0.83191025,-0.0027530864,0.09914184,55,3500000000.0
834,60234,3.011704972495897e-07,0.5424423,0.83286273,-0.002700751,0.10103991,55,3500000000.0
835,60235,3.011763522752711e-07,0.5405878000000001,0.83409095,-0.0025896720000000003,0.10344882,55,3500000000.0
836,60236,3.011807422640725e-07,0.539257,0.8349689,-0.0024762873000000003,0.10512591,55,3500000000.0
837,60237,3.011851324837605e-07,0.53799236,0.83580065,-0.0023381698,0.106663726,55,3500000000.0
838,60238,3.011909846261567e-07,0.53643167,0.8368238000000001,-0.0021178348,0.108466454,55,3500000000.0
839,60239,3.0119537362986537e-07,0.53537077,0.83751774,-0.0019274572,0.10961118,55,3500000000.0
840,60240,3.012012248917829e-07,0.53412336,0.83833224,-0.001643677,0.110841714,55,3500000000.0
841,60241,3.0120561389827193e-07,0.5333257,0.83885276,-0.0014110667,0.11154002,55,3500000000.0
842,60242,3.012100031988095e-07,0.5326556,0.8392904,-0.0011640874,0.11204759,55,3500000000.0
843,60243,3.0121585639156554e-07,0.5319728,0.83973813,-0.0008167414999999999,0.112450935,55,3500000000.0
844,60244,3.012202448034732e-07,0.5316259,0.8399675999999999,-0.00054625765,0.112569325,55,3500000000.0
845,60245,3.0122609574699595e-07,0.5313904,0.8401284,-0.00017744485,0.11252368,55,3500000000.0
846,60246,3.012304836129857e-07,0.5313866,0.84013855,0.000101636935,0.11237336,55,3500000000.0
847,60247,3.012363320477723e-07,0.53161174,0.84000474,0.0004715707,0.11206944,55,3500000000.0
848,60248,3.012407198304411e-07,0.5319512,0.83979493,0.0007439566,0.11179623,55,3500000000.0
849,60249,3.0124510760340897e-07,0.53243303,0.8394934000000001,0.0010088896,0.111508965,55,3500000000.0
850,60250,3.01250960559435e-07,0.53328854,0.8389532,0.0013461629999999998,0.111133926,55,3500000000.0
851,60251,3.012553493823205e-07,0.53408104,0.83844936,0.001583757,0.110867575,55,3500000000.0
852,60252,3.012612008788529e-07,0.53532356,0.83765495,0.0018757588,0.11053306,55,3500000000.0
853,60253,3.0126558934682085e-07,0.5363824,0.83697397,0.00207347,0.11029181,55,3500000000.0
854,60254,3.012714400423073e-07,0.5379431,0.8359646999999999,0.0023051777,0.10995066,55,3500000000.0
855,60255,3.012758295260093e-07,0.53921056,0.83514017,0.002453037,0.10965477,55,3500000000.0
856,60256,3.012802181690293e-07,0.5405466999999999,0.8342666999999999,0.0025771211,0.10929907,55,3500000000.0
857,60257,3.012860722145782e-07,0.54241335,0.8330390999999999,0.0027038646,0.108692504,55,3500000000.0
858,60258,3.0129046157451915e-07,0.5438585,0.83208275,0.0027688134000000003,0.10810631,55,3500000000.0
859,60259,3.012963136765803e-07,0.5458194000000001,0.83077693,0.002814387,0.107118495,55,3500000000.0
860,60260,3.0130070221122115e-07,0.5472975,0.8297865,0.0028175588,0.10620476,55,3500000000.0
861,60261,3.013050913002058e-07,0.5487666999999999,0.82879686,0.0027942383,0.10513387,55,3500000000.0
862,60262,3.013109419212009e-07,0.5506873000000001,0.8274949,0.0027225744,0.103468455,55,3500000000.0
