t	mx	my	mz	MaxAngle	phi	f_RF
5.65397383069668e-10	-0.015249029	0.97314584	0.081251346	0.4416308	75	3000000000.0
5.712950147303191e-10	0.07031521	0.9751612	0.10443034	0.38861963	75	3000000000.0
5.757163650057224e-10	0.14564846	0.97008985	0.114984185	0.33370763	75	3000000000.0
5.801383091376589e-10	0.22511868	0.9573866	0.11900482	0.27306736	75	3000000000.0
5.860356801873551e-10	0.32826236	0.92866	0.11394575	0.20966345	75	3000000000.0
5.904558518315223e-10	0.3970939	0.9008188	0.10277044	0.19477798	75	3000000000.0
5.96348432376952e-10	0.47072238	0.8618672	0.07953109	0.19635642	75	3000000000.0
6.007687718695978e-10	0.5097766	0.83646	0.057301626	0.217415	75	3000000000.0
6.051857255588248e-10	0.5341541	0.8182868	0.032434978	0.24736762	75	3000000000.0
6.110712452342739e-10	0.54403675	0.80928725	-0.0024426929	0.2817374	75	3000000000.0
6.154855665334741e-10	0.53494924	0.8150083	-0.02813903	0.2952234	75	3000000000.0
6.213739874227105e-10	0.5015714	0.8376632	-0.059315927	0.30198228	75	3000000000.0
6.257888013894457e-10	0.46138158	0.8629098	-0.07880671	0.29534552	75	3000000000.0
6.302017081852467e-10	0.40949795	0.8915913	-0.093793795	0.3300566	75	3000000000.0
6.360798490297512e-10	0.32595566	0.9289244	-0.105390765	0.31798014	75	3000000000.0
6.404830306159552e-10	0.25683942	0.95216674	-0.10719575	0.30424753	75	3000000000.0
6.463476554547882e-10	0.16412906	0.973223	-0.10033415	0.23805293	75	3000000000.0
6.507461213367409e-10	0.09999936	0.9812325	-0.08873536	0.22696938	75	3000000000.0
6.551438349335975e-10	0.045112655	0.9838089	-0.07243773	0.21098644	75	3000000000.0
6.610136889068267e-10	-0.00832063	0.98226345	-0.045160055	0.1860733	75	3000000000.0
6.654206484335419e-10	-0.030923607	0.9800809	-0.022093227	0.1835328	75	3000000000.0
6.712861562200536e-10	-0.036064837	0.9786111	0.009629844	0.19916321	75	3000000000.0
6.756772244251436e-10	-0.02141167	0.97912115	0.032510627	0.21135838	75	3000000000.0
6.800623259487161e-10	0.008026968	0.9803098	0.053292677	0.21166785	75	3000000000.0
6.859072600677137e-10	0.06720891	0.9804053	0.07592354	0.23957537	75	3000000000.0
6.902948443962816e-10	0.12320377	0.9770692	0.08792885	0.24208467	75	3000000000.0
6.961497540445205e-10	0.20675924	0.96537536	0.09606093	0.21495306	75	3000000000.0
7.005457257487025e-10	0.2709055	0.9505678	0.095837094	0.20249362	75	3000000000.0
7.064057103202944e-10	0.3506704	0.92440796	0.08724854	0.18436277	75	3000000000.0
7.108002334349346e-10	0.4017662	0.9026141	0.07519395	0.18171391	75	3000000000.0
7.151928023732876e-10	0.44262677	0.88193434	0.05918838	0.16188185	75	3000000000.0
7.21048325969183e-10	0.4788162	0.86070585	0.033424113	0.12602113	75	3000000000.0
7.254410714000271e-10	0.49150214	0.85225517	0.012222024	0.12870574	75	3000000000.0
7.312969815615147e-10	0.4891088	0.85297585	-0.016335178	0.14000028	75	3000000000.0
7.356885620197088e-10	0.4732618	0.8623244	-0.036497362	0.13552584	75	3000000000.0
7.400757145084423e-10	0.44607383	0.8778713	-0.054384474	0.14572354	75	3000000000.0
7.459220845711031e-10	0.39400193	0.90465546	-0.07310971	0.17369044	75	3000000000.0
7.503042433696296e-10	0.34524626	0.9260674	-0.08234321	0.19939326	75	3000000000.0
7.561489412531574e-10	0.27189797	0.9518965	-0.08732383	0.23975691	75	3000000000.0
7.60534143671515e-10	0.21471618	0.9669776	-0.08533499	0.2406781	75	3000000000.0
7.663852803637729e-10	0.14225258	0.97998375	-0.07537495	0.19492483	75	3000000000.0
7.707777106471277e-10	0.09515666	0.98482573	-0.06306956	0.19635734	75	3000000000.0
7.751721222248322e-10	0.057506576	0.9866074	-0.047462665	0.19339566	75	3000000000.0
7.810268523227686e-10	0.025547018	0.98650706	-0.023188423	0.15553531	75	3000000000.0
7.854171508021344e-10	0.01670612	0.9860097	-0.003726643	0.12856497	75	3000000000.0
7.9127050309133e-10	0.025549864	0.9857581	0.021873465	0.11048496	75	3000000000.0
7.956601539740375e-10	0.046905596	0.9856043	0.03947857	0.09709809	75	3000000000.0
8.000502667456192e-10	0.0794393	0.9846098	0.05467156	0.1006628	75	3000000000.0
8.059025308565331e-10	0.13664342	0.9801099	0.069796726	0.117991135	75	3000000000.0
8.102873222734277e-10	0.18641487	0.97312856	0.076511204	0.12265735	75	3000000000.0
8.16127513382966e-10	0.25601834	0.95827657	0.0786752	0.12198665	75	3000000000.0
8.205071010670403e-10	0.30656335	0.94352233	0.075174734	0.12671068	75	3000000000.0
8.263484106446342e-10	0.36630782	0.921379	0.06419175	0.1300405	75	3000000000.0
8.30733385130876e-10	0.40246862	0.9052458	0.051914	0.12636684	75	3000000000.0
8.351216701253428e-10	0.42947155	0.8916775	0.036993947	0.11749948	75	3000000000.0
8.409781431150276e-10	0.44975093	0.88042146	0.014513809	0.096538216	75	3000000000.0
8.453710996782296e-10	0.45274714	0.87845683	-0.0030437212	0.0804526	75	3000000000.0
8.512283127005826e-10	0.44070473	0.8848359	-0.025568452	0.10214657	75	3000000000.0
8.556218633720977e-10	0.42029205	0.89551306	-0.040633447	0.10604834	75	3000000000.0
8.60017604861808e-10	0.39108488	0.90978825	-0.053241078	0.10415409	75	3000000000.0
8.658766106942102e-10	0.34087792	0.93140745	-0.06508985	0.10350941	75	3000000000.0
8.702711184678995e-10	0.2972291	0.94726354	-0.06966583	0.10786241	75	3000000000.0
8.761305557121595e-10	0.2356312	0.96517104	-0.06961704	0.10590183	75	3000000000.0
8.805246710873335e-10	0.19043113	0.97508687	-0.06504494	0.094192736	75	3000000000.0
8.863865825127341e-10	0.13665079	0.9833839	-0.053508878	0.07782278	75	3000000000.0
8.907809203342063e-10	0.10433656	0.9865136	-0.041502047	0.0735625	75	3000000000.0
8.951747745007182e-10	0.08095451	0.98784566	-0.027411895	0.07726958	75	3000000000.0
9.01030076477935e-10	0.065668605	0.9881255	-0.0068146964	0.09238386	75	3000000000.0
9.054167439283208e-10	0.06670907	0.98783565	0.008863426	0.10427785	75	3000000000.0
9.112602888407875e-10	0.08426476	0.98686945	0.028467804	0.11353147	75	3000000000.0
9.15637439079648e-10	0.10834949	0.9852345	0.041180603	0.11606199	75	3000000000.0
9.200114224333067e-10	0.14014441	0.9821577	0.051443167	0.10988926	75	3000000000.0
9.258400564178807e-10	0.1910814	0.9748092	0.060424853	0.09062264	75	3000000000.0
9.302077377419479e-10	0.2326395	0.966466	0.06320254	0.09514049	75	3000000000.0
9.360261440031603e-10	0.28779083	0.95191973	0.06143398	0.11198894	75	3000000000.0
9.403889648421536e-10	0.32591996	0.9393868	0.056175288	0.110592484	75	3000000000.0
9.462042107445972e-10	0.36864793	0.9227222	0.044592347	0.09807811	75	3000000000.0
9.50563577390313e-10	0.39269364	0.9120021	0.033175755	0.08503354	75	3000000000.0
9.563756345220166e-10	0.41234112	0.90238225	0.015576832	0.068370946	75	3000000000.0
9.607338578435367e-10	0.41720492	0.89974743	0.0015570443	0.07420123	75	3000000000.0
9.650920559783522e-10	0.41355726	0.9013892	-0.012321783	0.075384974	75	3000000000.0
9.709038155876419e-10	0.3959984	0.90974814	-0.029335765	0.083953656	75	3000000000.0
9.752625165972987e-10	0.37415785	0.91964334	-0.040102217	0.08779327	75	3000000000.0
9.810744844248551e-10	0.33547252	0.9355228	-0.050730724	0.09593278	75	3000000000.0
9.854337146437483e-10	0.3011918	0.9478221	-0.055374693	0.10290251	75	3000000000.0
9.91249049885645e-10	0.25195575	0.9626445	-0.0567065	0.10866668	75	3000000000.0
9.956104108361032e-10	0.21512972	0.9715976	-0.054040443	0.115590595	75	3000000000.0
1.0014267798459898e-09	0.17023022	0.9800964	-0.0459727	0.1145977	75	3000000000.0
