# t (s)	mx ()	my ()	mz ()	MaxAngle (rad)	phi (degree)	f_RF (GHz)
9.600412335503783e-10	0.9706916	-0.0608673	0.003673371	0.026315903	0	4e+09
9.65066440292957e-10	0.9703946	-0.06265651	0.0020241223	0.026309105	0	4e+09
9.70091908367544e-10	0.9701999	-0.063284785	0.00033983088	0.026279634	0	4e+09
9.751175482365503e-10	0.97011614	-0.0627426	-0.0013513897	0.02622059	0	4e+09
9.80143455348694e-10	0.9701441	-0.061039243	-0.0030213168	0.02652798	0	4e+09
9.850020051727533e-10	0.9702718	-0.058314964	-0.0045890696	0.026789604	0	4e+09
9.900283206845206e-10	0.9704954	-0.054426182	-0.006136454	0.026931638	0	4e+09
9.950547684861734e-10	0.9707935	-0.04951097	-0.0075826542	0.02694934	0	4e+09
1.0000814927753113e-09	0.9711424	-0.04364843	-0.008903736	0.026829626	0	4e+09
1.0051084721213054e-09	0.9715159	-0.03693319	-0.010077913	0.026593067	0	4e+09
1.0101355720292179e-09	0.9718864	-0.029474104	-0.011085938	0.026245587	0	4e+09
1.015162861911303e-09	0.97222674	-0.021392144	-0.011911463	0.025803503	0	4e+09
1.020022776449148e-09	0.9725043	-0.013111106	-0.012523485	0.025301937	0	4e+09
1.0250505321971472e-09	0.97271883	-0.004195855	-0.012954407	0.024749314	0	4e+09
1.0300785295639806e-09	0.9728452	0.0049294825	-0.013173021	0.024871849	0	4e+09
1.0351067084290318e-09	0.9728748	0.014114988	-0.013175987	0.024989013	0	4e+09
1.0401351387506725e-09	0.972807	0.023209745	-0.012963416	0.025103254	0	4e+09
1.0451638223816887e-09	0.97264725	0.032064077	-0.012538856	0.02521698	0	4e+09
1.0500251312755884e-09	0.9724177	0.040257696	-0.01193341	0.025323132	0	4e+09
1.0550542472087499e-09	0.97212	0.048219953	-0.011115191	0.0254265	0	4e+09
1.060083559111843e-09	0.9717839	0.055530377	-0.010114924	0.025522439	0	4e+09
1.065113006265906e-09	0.9714346	0.062069003	-0.008948804	0.025608713	0	4e+09
1.0701426963600463e-09	0.97109956	0.067728974	-0.007635719	0.025687734	0	4e+09
1.075004915063736e-09	0.97081405	0.07227799	-0.006246787	0.025754943	0	4e+09
1.0800348477555973e-09	0.97058153	0.07595511	-0.0047090934	0.025810434	0	4e+09
1.0850648886425505e-09	0.97043264	0.07852702	-0.00309377	0.025849666	0	4e+09
1.0900950603051233e-09	0.97038186	0.07995187	-0.0014274014	0.025875023	0	4e+09
1.0951253299850572e-09	0.97043747	0.08020631	0.00026249912	0.025879629	0	4e+09
1.1001556165440075e-09	0.9706003	0.07928594	0.0019479753	0.025868108	0	4e+09
1.1050184456878217e-09	0.9708533	0.07729295	0.0035469425	0.025835827	0	4e+09
1.110049031802515e-09	0.9712015	0.074122	0.005143077	0.02577808	0	4e+09
1.1150795878573347e-09	0.97161806	0.06987367	0.0066542667	0.025701655	0	4e+09
1.1201103910990046e-09	0.97207904	0.06461638	0.008055834	0.025604056	0	4e+09
1.1251412979000158e-09	0.97255677	0.05843549	0.009324901	0.025482703	0	4e+09
1.130004612680623e-09	0.973007	0.0516772	0.010406394	0.025351364	0	4e+09
1.1350357202070175e-09	0.9734325	0.043986566	0.011357427	0.025205156	0	4e+09
1.1400668259810106e-09	0.97379065	0.035709735	0.0121229	0.025043817	0	4e+09
1.1450978906378437e-09	0.97405845	0.026982868	0.012690747	0.024879038	0	4e+09
